1.000061385291004107e-01 1.000048370775842438e-01 1.000069345895020362e-01 2.609995001835050843e+01 1.000043966270578871e-01 1.000038048684420700e-01 1.000053988171175495e-01 1.000058688731127188e-01 1.000066225122835523e-01 1.000059797552921986e-01
1.000095171799950527e-01 1.000106200832394099e-01 1.000086979449211350e-01 1.560999067379582925e+02 1.000121520837819883e-01 1.000106807537960024e-01 1.000087694610641842e-01 1.000103925168762814e-01 1.000109767555532325e-01 1.000114552624742081e-01
1.000042816995573985e-01 1.000044471731838247e-01 1.000040276673529044e-01 8.309995985275776320e+01 1.000052834568356114e-01 1.000037618895235764e-01 1.000039214916936398e-01 1.000048336145768768e-01 1.000057175238272256e-01 1.000038727256585130e-01
1.000070491885996921e-01 1.000081832391502279e-01 1.000084735952905396e-01 1.750999243851926792e+02 1.000099358282213330e-01 1.000060440720033084e-01 1.000077290130792634e-01 1.000085512722691944e-01 1.000100697055231469e-01 1.000095788931928964e-01
1.000021948848264369e-01 1.000029034803244926e-01 1.000045886029383851e-01 5.099964693706510843e+00 1.000028465044706799e-01 1.000027141116694301e-01 1.000035930603413725e-01 1.000032541281671711e-01 1.000103495839717860e-01 1.000028619367798605e-01
1.000174717424043153e-01 1.000151467692564494e-01 1.000148271903534697e-01 1.809986038165880728e+01 1.000145091238055922e-01 1.000145284681425023e-01 1.000154099514238559e-01 1.000140500250315118e-01 1.000190926944835995e-01 1.000145823762927932e-01
1.000045059426755145e-01 1.000042483894812151e-01 1.000042358575853191e-01 5.109996299703525580e+01 1.000043143852390320e-01 1.000031977508332309e-01 1.000038444348663180e-01 1.000039335394908163e-01 1.000055789927523919e-01 1.000031436718187838e-01
1.000087307607953752e-01 1.000077331757492360e-01 1.000084755179609514e-01 3.300999180321089739e+02 1.000086943942351397e-01 1.000072627012612153e-01 1.000077744544939223e-01 1.000081924271264688e-01 1.000157007027412948e-01 1.000094037568252103e-01
1.000151690066705262e-01 1.000150737856955740e-01 1.000148625670585906e-01 7.109987287020304336e+01 1.000125721226153563e-01 1.000092980392785769e-01 1.000114523384779963e-01 1.000197371966433657e-01 1.000175552813731550e-01 1.000114094591275093e-01
1.000021358084425410e-01 1.000024057360733853e-01 1.000029070060758363e-01 3.609997649121100238e+01 1.000028991039507570e-01 1.000019264656292900e-01 1.000026571860445773e-01 1.000030942767795583e-01 1.000029701031176083e-01 1.000025131028870612e-01
1.000031850431738339e-01 1.000041134052963576e-01 1.000037653719923342e-01 8.509996376636874515e+01 1.000043825504825790e-01 1.000033989299775466e-01 1.000035013309736875e-01 1.000050207837044486e-01 1.000055122349376713e-01 1.000033539807312077e-01
1.000028092279664077e-01 1.000035915054037911e-01 1.000036280400773275e-01 2.009996943816627990e+01 1.000034193012110106e-01 1.000025282930944032e-01 1.000028268747108068e-01 1.000031609018304651e-01 1.000045185288573057e-01 1.000040791605700807e-01
1.000033030892640423e-01 1.000034687721996496e-01 1.000034432205462592e-01 3.309996613776205265e+01 1.000035154291640110e-01 1.000037820993923965e-01 1.000032200751421324e-01 1.000045470972552725e-01 1.000050777087049536e-01 1.000035047462817378e-01
1.000097665584095130e-01 1.000102585794846316e-01 1.000083427770273314e-01 7.609991357546816459e+01 1.000086898622140757e-01 1.000086079228252461e-01 1.000100730652264958e-01 1.000099979079195900e-01 1.000099173778183081e-01 1.000107704808812087e-01
1.000060845850160723e-01 1.000057143317093500e-01 1.000067733532749858e-01 9.209994114934960407e+01 1.000055296633406698e-01 1.000054244854085561e-01 1.000065194898498711e-01 1.000086035554823005e-01 1.000076140383660966e-01 1.000065871479340757e-01
1.000032151920952350e-01 1.000023310503419666e-01 1.000026175272288459e-01 4.009997251771677185e+01 1.000028505358024900e-01 1.000024761522709665e-01 1.000024749239625532e-01 1.000041811901156569e-01 1.000047002787212008e-01 1.000026354326844363e-01
1.000046691153005651e-01 1.000050608238856192e-01 1.000051112747445264e-01 7.409995498330879116e+01 1.000058980006702652e-01 1.000040928612849350e-01 1.000041477588951844e-01 1.000056047349103805e-01 1.000061676167523367e-01 1.000042645047647949e-01
1.000032913792661959e-01 1.000028541451122854e-01 1.000041343480778944e-01 1.209996580743155192e+01 1.000039906411927249e-01 1.000022668490860439e-01 1.000034962781996412e-01 1.000059445408289366e-01 1.000038940713315061e-01 1.000043203153545557e-01
1.000030440207422683e-01 1.000034583523980170e-01 1.000038347834210500e-01 6.909996655105626928e+01 1.000037640634734298e-01 1.000028281886411186e-01 1.000033602779036024e-01 1.000041471582003849e-01 1.000059891137785317e-01 1.000030229851478492e-01
1.000221789742179596e-01 1.000218722422682033e-01 1.000340659421052047e-01 2.209980144838630167e+01 1.000234531543677530e-01 1.000160817254779483e-01 1.000197223091428556e-01 1.000157013721116317e-01 1.000226997626004616e-01 1.000227761314048391e-01
